#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
402 2.40004 140
402 2.40004 150
402 2.40004 160
402 2.40004 170
402 2.40004 180
402 2.40004 190
402 2.40004 200
402 2.40004 210
#number_of_cells residual time
402 2.40004 140
#number_of_cells residual time
201 5.92728 90
201 5.92728 100
201 5.92728 110
#number_of_cells residual time
201 1.03851 70
201 1.03851 80
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
100 37242 0.06
100 137582 0.21
100 144895 0.22
100 254835 0.36
100 262970 0.37
100 271124 0.38
100 295690 0.41
100 303908 0.42
100 320381 0.44
100 328635 0.45
100 336899 0.46
100 345172 0.47
100 370042 0.5
100 386658 0.52
100 403300 0.54
100 411629 0.55
100 419963 0.56
100 461702 0.61
100 470061 0.62
100 478424 0.63
100 486791 0.64
100 503532 0.66
100 520286 0.68
100 578996 0.75
100 629394 0.81
100 637799 0.82
100 663022 0.85
100 679844 0.87
100 688256 0.88
100 713500 0.91
100 738753 0.94
100 755593 0.96
100 789283 1
100 806132 1.02
100 822984 1.04
100 839839 1.06
100 848267 1.07
100 865126 1.09
100 881986 1.11
100 915713 1.15
100 924146 1.16
100 941013 1.18
100 949448 1.19
100 957882 1.2
100 1.01694e+06 1.27
100 1.03381e+06 1.29
100 1.05069e+06 1.31
100 1.07601e+06 1.34
100 1.08445e+06 1.35
100 1.09289e+06 1.36
#number_of_cells residual time
100 4.85514e+07 60
100 1.83744e+08 220
#number_of_cells residual time
#number_of_cells residual time
100 22992.3 140
#number_of_cells residual time
100 1.86216e+08 220
100 2.45423e+08 290
100 3.55379e+08 420
100 4.65335e+08 550
#number_of_cells residual time
100 8.23072e+07 100
100 1.41468e+08 170
#number_of_cells residual time
100 18208.6 10
100 22991.3 100
100 22992.7 150
100 22993 160
100 22993.4 170
100 22993.8 180
100 22999.8 280
100 23001.5 300
#number_of_cells residual time
#number_of_cells residual time
100 22990.3 20
#number_of_cells residual time
100 57980.6 40
#number_of_cells residual time
100 3.44121 20
100 3.44121 30
100 3.44121 40
100 3.44121 50
100 3.44121 60
100 3.44121 70
100 3.44121 80
100 3.44121 90
100 3.44121 100
100 3.44121 110
100 3.44121 120
100 3.44121 130
100 3.44121 140
100 3.44121 150
100 3.44121 160
#number_of_cells residual time
201 1.03851 70
#number_of_cells residual time
402 0.216262 80
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
402 0.00489916 10
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
#number_of_cells residual time
402 nan 1
#number_of_cells residual time
402 nan 0.16
402 nan 0.17
402 nan 0.18
#number_of_cells residual time
402 11986.1 0.29
402 12873.2 0.52
402 13662.4 0.88
#number_of_cells residual time
