# X    U     P    rho
0 0 404400 4.696
0.001 0 404400 4.696
0.002 0 404400 4.696
0.003 0 404400 4.696
0.004 0 404400 4.696
0.005 0 404400 4.696
0.006 0 404400 4.696
0.007 0 404400 4.696
0.008 0 404400 4.696
0.009 0 404400 4.696
0.01 0 404400 4.696
0.011 0 404400 4.696
0.012 0 404400 4.696
0.013 0 404400 4.696
0.014 0 404400 4.696
0.015 0 404400 4.696
0.016 0 404400 4.696
0.017 0 404400 4.696
0.018 0 404400 4.696
0.019 0 404400 4.696
0.02 0 404400 4.696
0.021 0 404400 4.696
0.022 0 404400 4.696
0.023 0 404400 4.696
0.024 0 404400 4.696
0.025 0 404400 4.696
0.026 0 404400 4.696
0.027 0 404400 4.696
0.028 0 404400 4.696
0.029 0 404400 4.696
0.03 0 404400 4.696
0.031 0 404400 4.696
0.032 0 404400 4.696
0.033 0 404400 4.696
0.034 0 404400 4.696
0.035 0 404400 4.696
0.036 0 404400 4.696
0.037 0 404400 4.696
0.038 0 404400 4.696
0.039 0 404400 4.696
0.04 0 404400 4.696
0.041 0 404400 4.696
0.042 0 404400 4.696
0.043 0 404400 4.696
0.044 0 404400 4.696
0.045 0 404400 4.696
0.046 0 404400 4.696
0.047 0 404400 4.696
0.048 0 404400 4.696
0.049 0 404400 4.696
0.05 0 404400 4.696
0.051 0 404400 4.696
0.052 0 404400 4.696
0.053 0 404400 4.696
0.054 0 404400 4.696
0.055 0 404400 4.696
0.056 0 404400 4.696
0.057 0 404400 4.696
0.058 0 404400 4.696
0.059 0 404400 4.696
0.06 0 404400 4.696
0.061 0 404400 4.696
0.062 0 404400 4.696
0.063 0 404400 4.696
0.064 0 404400 4.696
0.065 0 404400 4.696
0.066 0 404400 4.696
0.067 0 404400 4.696
0.068 0 404400 4.696
0.069 0 404400 4.696
0.07 0 404400 4.696
0.071 0 404400 4.696
0.072 0 404400 4.696
0.073 0 404400 4.696
0.074 0 404400 4.696
0.075 0 404400 4.696
0.076 0 404400 4.696
0.077 0 404400 4.696
0.078 0 404400 4.696
0.079 0 404400 4.696
0.08 0 404400 4.696
0.081 0 404400 4.696
0.082 0 404400 4.696
0.083 0 404400 4.696
0.084 0 404400 4.696
0.085 0 404400 4.696
0.086 0 404400 4.696
0.087 0 404400 4.696
0.088 0 404400 4.696
0.089 0 404400 4.696
0.09 0 404400 4.696
0.091 0 404400 4.696
0.092 0 404400 4.696
0.093 0 404400 4.696
0.094 0 404400 4.696
0.095 0 404400 4.696
0.096 0 404400 4.696
0.097 0 404400 4.696
0.098 0 404400 4.696
0.099 0 404400 4.696
0.1 0 404400 4.696
0.101 0 404400 4.696
0.102 0 404400 4.696
0.103 0 404400 4.696
0.104 0 404400 4.696
0.105 0 404400 4.696
0.106 0 404400 4.696
0.107 0 404400 4.696
0.108 0 404400 4.696
0.109 0 404400 4.696
0.11 0 404400 4.696
0.111 0 404400 4.696
0.112 0 404400 4.696
0.113 0 404400 4.696
0.114 0 404400 4.696
0.115 0 404400 4.696
0.116 0 404400 4.696
0.117 0 404400 4.696
0.118 0 404400 4.696
0.119 0 404400 4.696
0.12 0 404400 4.696
0.121 0 404400 4.696
0.122 0 404400 4.696
0.123 0 404400 4.696
0.124 0 404400 4.696
0.125 0 404400 4.696
0.126 0 404400 4.696
0.127 0 404400 4.696
0.128 0 404400 4.696
0.129 0 404400 4.696
0.13 0 404400 4.696
0.131 0 404400 4.696
0.132 0 404400 4.696
0.133 0 404400 4.696
0.134 0 404400 4.696
0.135 0 404400 4.696
0.136 0 404400 4.696
0.137 0 404400 4.696
0.138 0 404400 4.696
0.139 0 404400 4.696
0.14 0 404400 4.696
0.141 0 404400 4.696
0.142 0 404400 4.696
0.143 0 404400 4.696
0.144 0 404400 4.696
0.145 0 404400 4.696
0.146 0 404400 4.696
0.147 0 404400 4.696
0.148 0 404400 4.696
0.149 0 404400 4.696
0.15 0 404400 4.696
0.151 0 404400 4.696
0.152 0 404400 4.696
0.153 0 404400 4.696
0.154 0 404400 4.696
0.155 0 404400 4.696
0.156 0 404400 4.696
0.157 0 404400 4.696
0.158 0 404400 4.696
0.159 0 404400 4.696
0.16 0 404400 4.696
0.161 0 404400 4.696
0.162 0 404400 4.696
0.163 0 404400 4.696
0.164 0 404400 4.696
0.165 0 404400 4.696
0.166 0 404400 4.696
0.167 0 404400 4.696
0.168 0 404400 4.696
0.169 0 404400 4.696
0.17 0 404400 4.696
0.171 0 404400 4.696
0.172 0 404400 4.696
0.173 0 404400 4.696
0.174 0 404400 4.696
0.175 0 404400 4.696
0.176 0 404400 4.696
0.177 0 404400 4.696
0.178 0 404400 4.696
0.179 0 404400 4.696
0.18 0 404400 4.696
0.181 0 404400 4.696
0.182 0 404400 4.696
0.183 0 404400 4.696
0.184 0 404400 4.696
0.185 0 404400 4.696
0.186 0 404400 4.696
0.187 0 404400 4.696
0.188 0 404400 4.696
0.189 0 404400 4.696
0.19 0 404400 4.696
0.191 0 404400 4.696
0.192 0 404400 4.696
0.193 0 404400 4.696
0.194 0 404400 4.696
0.195 0 404400 4.696
0.196 0 404400 4.696
0.197 0 404400 4.696
0.198 0 404400 4.696
0.199 0 404400 4.696
0.2 0 404400 4.696
0.201 0 404400 4.696
0.202 0 404400 4.696
0.203 0 404400 4.696
0.204 0 404400 4.696
0.205 0 404400 4.696
0.206 0 404400 4.696
0.207 0 404400 4.696
0.208 0 404400 4.696
0.209 0 404400 4.696
0.21 0 404400 4.696
0.211 0 404400 4.696
0.212 0 404400 4.696
0.213 0 404400 4.696
0.214 0 404400 4.696
0.215 0 404400 4.696
0.216 0 404400 4.696
0.217 0 404400 4.696
0.218 0 404400 4.696
